restaurant,section,item,price,description,location,contact,hours,features,combined_text
Just BLR,Bar Bites,French Fries Peri Peri,₹299,French Fries Peri Peri is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: French Fries Peri Peri
Price: ₹299
Description: French Fries Peri Peri is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,French Fries Plain,₹289,French Fries Plain is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: French Fries Plain
Price: ₹289
Description: French Fries Plain is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Peanut Masala,₹289,Peanut Masala is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: Peanut Masala
Price: ₹289
Description: Peanut Masala is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Crispy Chilli American Corn,₹299,Crispy Chilli American Corn is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['spicy'],"Restaurant: Just BLR
Section: Bar Bites
Item: Crispy Chilli American Corn
Price: ₹299
Description: Crispy Chilli American Corn is a dish from Just BLR listed under Bar Bites.
Features: spicy
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Popcorn Plain,₹229,Popcorn Plain is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: Popcorn Plain
Price: ₹229
Description: Popcorn Plain is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Popcorn Peri Peri,₹249,Popcorn Peri Peri is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: Popcorn Peri Peri
Price: ₹249
Description: Popcorn Peri Peri is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Roasted Masala Papad,₹249,Roasted Masala Papad is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: Roasted Masala Papad
Price: ₹249
Description: Roasted Masala Papad is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,French Fries Peri Peri,₹299,French Fries Peri Peri is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: French Fries Peri Peri
Price: ₹299
Description: French Fries Peri Peri is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,French Fries Plain,₹289,French Fries Plain is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: French Fries Plain
Price: ₹289
Description: French Fries Plain is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Peanut Masala,₹289,Peanut Masala is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,[],"Restaurant: Just BLR
Section: Bar Bites
Item: Peanut Masala
Price: ₹289
Description: Peanut Masala is a dish from Just BLR listed under Bar Bites.
Features: 
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
Just BLR,Bar Bites,Crispy Chilli American Corn,₹299,Crispy Chilli American Corn is a dish from Just BLR listed under Bar Bites.,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",Hours not available,['spicy'],"Restaurant: Just BLR
Section: Bar Bites
Item: Crispy Chilli American Corn
Price: ₹299
Description: Crispy Chilli American Corn is a dish from Just BLR listed under Bar Bites.
Features: spicy
Location: Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com
Contact: Phone: +91-82779-96372,  Email: info@justblr.com
Hours: Hours not available"
