restaurant,section,item,price,description,location,contact,hours
Just BLR,Bar Bites,FRENCH FRIES  PERI PERI,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,FRENCH FRIES  PLAIN,₹289,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,PEANUT MASALA,₹289,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,CRISPY CHILLI AMERICAN CORN,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,POPCORN PLAIN,₹229,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,POPCORN PERI PERI,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,ROASTED MASALA PAPAD,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,FRENCH FRIES  PERI PERI,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,FRENCH FRIES  PLAIN,₹289,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,PEANUT MASALA,₹289,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,CRISPY CHILLI AMERICAN CORN,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,POPCORN PLAIN,₹229,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,POPCORN PERI PERI,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Bar Bites,ROASTED MASALA PAPAD,₹249,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SOM TAM,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,WAI WAI SADEKO,₹199,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,KIMCHI SALAD,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SPICY THAI FRUIT SALAD,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SOM TAM PRAWN SALAD,₹389,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,SINGJU,₹199,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,GRILLED ASIAN BEEF SALAD,₹379,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,CAESER SALAD,₹299,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
Just BLR,Soups & Salads,GARDEN GREEN SALAD,₹229,,Just BLR - Have Fun & Flavors for your Perfect Party at MG Road in Bengaluru - Justblr.com,"Phone: +91-82779-96372,  Email: info@justblr.com",
